date,user_id,device,pages_viewed,paid_clicks,organic_clicks,revenue
2026-01-01,1063,mobile,70,3,9,9.97
2026-01-01,1064,mobile,23,3,5,14.82
2026-01-01,1065,mobile,26,2,3,10.6
2026-01-01,1069,mobile,19,11,9,205.26
2026-01-01,1071,mobile,22,2,11,10.84
2026-01-01,1072,desktop,8,1,1,3.76
2026-01-01,1073,desktop,6,0,1,1.84
2026-01-01,1075,mobile,26,0,6,14.88
2026-01-01,1077,mobile,9,7,4,297.11
2026-01-01,1080,mobile,25,3,1,11.71
2026-01-01,1082,mobile,10,0,8,11.69
2026-01-01,1084,mobile,30,4,2,13.43
2026-01-01,1085,mobile,11,7,6,12.44
2026-01-01,1086,mobile,10,3,6,12.9
2026-01-01,1088,mobile,14,3,2,13.82
2026-01-01,1089,mobile,15,2,6,14.58
2026-01-01,1091,mobile,16,3,9,12.23
2026-01-01,1092,mobile,12,1,12,12.52
2026-01-01,1094,mobile,13,3,8,9.86
2026-01-01,1095,desktop,2,1,2,1.63
2026-01-01,1100,desktop,6,2,3,2.78
2026-01-01,1104,mobile,14,8,5,12.47
2026-01-01,1105,desktop,11,5,0,1.34
2026-01-01,1107,mobile,25,3,3,15.49
2026-01-01,1109,desktop,3,0,0,2.68
2026-01-01,1111,mobile,25,4,4,13.05
2026-01-01,1116,desktop,3,0,3,1.32
2026-01-01,1118,mobile,12,2,2,12.54
2026-01-01,1120,mobile,12,8,1,8.97
2026-01-01,1125,mobile,13,0,4,7.7
2026-01-01,1126,desktop,6,2,2,2.76
2026-01-01,1129,mobile,17,20,4,10.97
2026-01-01,1130,mobile,14,2,1,9.97
2026-01-01,1131,mobile,13,3,11,10.47
2026-01-01,1132,desktop,8,4,7,1.42
2026-01-01,1133,mobile,15,5,16,14.52
2026-01-01,1134,mobile,10,12,5,11.38
